"ID","together","age","years","divorced"
530,"yes",18,21,TRUE
531,"yes",27,9,FALSE
532,"yes",27,13,FALSE
533,"yes",21,7,FALSE
534,"yes",19,13,FALSE
535,"yes",18,2,TRUE
536,"yes",27,6,TRUE
537,"yes",27,9,FALSE
538,"yes",19,3,FALSE
539,"yes",20,12,FALSE
540,"yes",29,3,TRUE
541,"no",20,12,FALSE
542,"yes",33,4,FALSE
543,"no",13,25,FALSE
544,"yes",28,3,FALSE
545,"yes",17,4,TRUE
546,"yes",25,10,FALSE
547,"no",19,6,TRUE
548,"yes",31,11,FALSE
549,"yes",16,11,TRUE
550,"no",16,7,TRUE
551,"yes",24,8,TRUE
552,"yes",22,17,FALSE
553,"yes",33,6,FALSE
554,"no",18,5,TRUE
555,"yes",28,17,FALSE
556,"yes",22,5,FALSE
557,"yes",19,5,TRUE
558,"yes",24,4,TRUE
559,"yes",29,4,FALSE
560,"yes",30,3,FALSE
561,"no",21,2,TRUE
562,"yes",20,10,FALSE
563,"yes",29,6,TRUE
564,"yes",20,4,TRUE
565,"yes",19,10,TRUE
566,"yes",22,10,FALSE
567,"yes",24,9,FALSE
568,"no",22,7,TRUE
569,"yes",16,2,TRUE
570,"no",18,2,TRUE
571,"yes",24,6,TRUE
572,"yes",35,5,FALSE
573,"yes",23,6,FALSE
574,"yes",29,11,TRUE
575,"no",20,6,TRUE
576,"yes",21,5,TRUE
577,"yes",19,9,TRUE
578,"yes",32,2,TRUE
579,"yes",21,4,TRUE
580,"no",21,4,FALSE
581,"no",19,2,TRUE
582,"no",17,2,TRUE
583,"yes",19,18,TRUE
584,"yes",25,6,FALSE
585,"no",18,15,FALSE
586,"yes",36,8,FALSE
587,"yes",22,6,FALSE
588,"yes",24,3,FALSE
589,"yes",29,11,FALSE
590,"yes",16,11,FALSE
591,"yes",19,7,TRUE
592,"no",19,14,FALSE
593,"yes",26,2,FALSE
594,"yes",19,13,FALSE
595,"yes",30,5,FALSE
596,"yes",26,6,FALSE
597,"no",19,7,FALSE
598,"yes",21,3,FALSE
599,"no",27,4,TRUE
600,"no",19,1,TRUE
601,"no",17,3,TRUE
602,"yes",28,1,FALSE
603,"yes",23,5,FALSE
605,"yes",27,6,FALSE
606,"yes",31,7,FALSE
607,"yes",31,9,FALSE
608,"yes",28,3,FALSE
609,"no",20,2,TRUE
610,"yes",31,7,FALSE
611,"yes",18,19,FALSE
612,"no",21,4,TRUE
613,"yes",22,6,TRUE
614,"yes",23,5,FALSE
615,"yes",17,21,FALSE
616,"yes",23,6,TRUE
617,"yes",23,5,FALSE
618,"yes",38,4,FALSE
619,"yes",21,12,FALSE
621,"yes",16,12,TRUE
622,"yes",15,27,TRUE
623,"yes",22,2,TRUE
624,"yes",22,15,FALSE
625,"no",29,9,TRUE
626,"no",17,2,TRUE
627,"yes",22,3,FALSE
628,"no",21,10,TRUE
629,"no",18,5,TRUE
630,"yes",21,3,TRUE
631,"no",19,10,TRUE
632,"yes",25,4,FALSE
633,"yes",30,2,FALSE
634,"no",21,10,TRUE
